athlete_id,name,general_gamesPlayed,general_fumblesForced,general_fumblesRecovered,general_fumblesTouchdowns,passing_completions,passing_passingAttempts,passing_completionPct,passing_passingYards,passing_yardsPerPassAttempt,passing_passingYardsPerGame,passing_longPassing,passing_passingTouchdowns,passing_interceptions,passing_sacks,passing_sackYardsLost,passing_QBR,passing_QBRating,passing_adjQBR,rushing_rushingAttempts,rushing_rushingYards,rushing_yardsPerRushAttempt,rushing_longRushing,rushing_rushingBigPlays,rushing_rushingTouchdowns,rushing_rushingYardsPerGame,rushing_rushingFumbles,rushing_rushingFumblesLost,rushing_rushingFirstDowns,receiving_receptions,receiving_receivingTargets,receiving_receivingYards,receiving_yardsPerReception,receiving_receivingTouchdowns,receiving_longReception,receiving_receivingBigPlays,receiving_receivingYardsPerGame,receiving_receivingFumbles,receiving_receivingFumblesLost,receiving_receivingYardsAfterCatch,receiving_receivingFirstDowns,defensive_soloTackles,defensive_assistTackles,defensive_totalTackles,defensive_sacks,defensive_sackYards,defensive_tacklesForLoss,defensive_passesDefended,defensive_longInterception,defensiveinterceptions_interceptions,defensiveinterceptions_interceptionYards,defensiveinterceptions_interceptionTouchdowns,scoring_rushingTouchdowns,scoring_receivingTouchdowns,scoring_returnTouchdowns,scoring_totalTouchdowns,scoring_fieldGoals,scoring_kickExtraPoints,scoring_totalTwoPointConvs,scoring_totalPoints,scoring_totalPointsPerGame,returning_kickReturns,returning_kickReturnYards,returning_yardsPerKickReturn,returning_longKickReturn,returning_kickReturnTouchdowns,returning_puntReturns,returning_puntReturnYards,returning_yardsPerPuntReturn,returning_longPuntReturn,returning_puntReturnTouchdowns,returning_puntReturnFairCatches,kicking_fieldGoalsMade,kicking_fieldGoalAttempts,kicking_fieldGoalPct,kicking_longFieldGoalMade,kicking_fieldGoalsMade1_19,kicking_fieldGoalsMade20_29,kicking_fieldGoalsMade30_39,kicking_fieldGoalsMade40_49,kicking_fieldGoalsMade50,kicking_fieldGoalAttempts1_19,kicking_fieldGoalAttempts20_29,kicking_fieldGoalAttempts30_39,kicking_fieldGoalAttempts40_49,kicking_fieldGoalAttempts50,kicking_extraPointsMade,kicking_extraPointAttempts,kicking_extraPointPct,punting_punts,punting_puntYards,punting_longPunt,punting_grossAvgPuntYards,punting_netAvgPuntYards,punting_puntsBlocked,punting_puntsInside20,punting_touchbacks,punting_fairCatches,punting_puntReturns,punting_puntReturnYards,punting_avgPuntReturnYards,team,position,season,fantasy_points_standard,fantasy_points_half_ppr,fantasy_points_ppr
4374302,Amon-Ra St. Brown,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,3.0,9.0,3.0,6.0,0.0,0.0,0.529411792755127,0.0,0.0,1.0,117.0,172.0,1401.0,11.973999977111816,11.0,52.0,19.0,82.4117660522461,1.0,0.0,570.0,71.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,66.0,3.881999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,DET,WR,2025,207.0,265.5,324.0
4429160,De'Von Achane,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,238.0,1350.0,5.671999931335449,59.0,13.0,8.0,84.375,1.0,0.0,56.0,67.0,85.0,488.0,7.283999919891357,4.0,29.0,4.0,30.5,0.0,0.0,552.0,23.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,0.0,0.0,0.0,72.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,RB,2025,255.8,289.3,322.8
4431611,Caleb Williams,17.0,0.0,0.0,-37.0,330.0,568.0,58.0989990234375,3942.0,6.940000057220459,231.88235473632812,65.0,27.0,7.0,24.0,165.0,57.86,90.1259994506836,58.17,77.0,388.0,5.039000034332275,29.0,2.0,3.0,22.823530197143555,7.0,0.0,28.0,2.0,2.0,22.0,11.0,1.0,20.0,1.0,1.2941176891326904,0.0,0.0,25.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,24.0,1.4119999408721924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,QB,2025,316.68,317.68,318.68
4361307,Trey McBride,17.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,169.0,1239.0,9.833000183105469,11.0,31.0,12.0,72.88235473632812,0.0,0.0,583.0,63.0,,,,,,,,,,,,0.0,11.0,0.0,11.0,0.0,0.0,0.0,66.0,3.881999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARI,TE,2025,189.9,252.9,315.9
4362628,Ja'Marr Chase,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,3.0,14.0,4.666999816894531,9.0,0.0,0.0,0.875,0.0,0.0,0.0,125.0,185.0,1412.0,11.295999526977539,8.0,64.0,15.0,88.25,1.0,1.0,640.0,73.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,WR,2025,188.6,251.1,313.6
2577417,Dak Prescott,17.0,0.0,0.0,-6.0,404.0,600.0,67.33300018310547,4552.0,7.586999893188477,267.76470947265625,86.0,30.0,10.0,31.0,208.0,71.22,99.52799987792969,70.2,53.0,177.0,3.3399999141693115,14.0,0.0,2.0,10.411765098571777,4.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.7059999704360962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAL,QB,2025,309.78000000000003,309.78000000000003,309.78000000000003
3046779,Jared Goff,17.0,0.0,0.0,-23.0,393.0,578.0,67.99299621582031,4564.0,7.895999908447266,268.4705810546875,64.0,34.0,8.0,38.0,259.0,58.63,105.48600006103516,57.33,19.0,45.0,2.368000030517578,24.0,1.0,0.0,2.6470587253570557,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,QB,2025,303.06,303.06,303.06
4040715,Jalen Hurts,16.0,0.0,1.0,-6.0,294.0,454.0,64.75800323486328,3224.0,7.10099983215332,201.5,79.0,25.0,6.0,32.0,181.0,56.96,98.48600006103516,55.22,105.0,421.0,4.010000228881836,29.0,2.0,8.0,26.3125,4.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,QB,2025,303.06,303.06,303.06
4379399,James Cook III,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,309.0,1621.0,5.245999813079834,64.0,9.0,12.0,95.35294342041016,6.0,3.0,68.0,33.0,40.0,291.0,8.817999839782715,2.0,51.0,4.0,17.117647171020508,0.0,0.0,272.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,14.0,0.0,0.0,0.0,84.0,4.940999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUF,RB,2025,269.2,285.7,302.2
4426338,Bo Nix,17.0,0.0,0.0,0.0,388.0,612.0,63.39899826049805,3931.0,6.422999858856201,231.23529052734375,52.0,25.0,11.0,22.0,119.0,60.03,87.80599975585938,58.27,83.0,356.0,4.289000034332275,25.0,3.0,5.0,20.941177368164062,2.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0,1.7649999856948853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEN,QB,2025,298.84000000000003,298.84000000000003,298.84000000000003
